0.000	1.000
0.010	1.000
0.020	1.000
0.030	1.000
0.040	0.999
0.050	0.999
0.060	0.998
0.070	0.998
0.080	0.997
0.090	0.996
0.100	0.995
0.110	0.994
0.120	0.993
0.130	0.992
0.140	0.990
0.150	0.989
0.160	0.987
0.170	0.986
0.180	0.984
0.190	0.982
0.200	0.980
0.210	0.978
0.220	0.976
0.230	0.974
0.240	0.971
0.250	0.969
0.260	0.966
0.270	0.964
0.280	0.961
0.290	0.958
0.300	0.955
0.310	0.952
0.320	0.949
0.330	0.946
0.340	0.943
0.350	0.939
0.360	0.936
0.370	0.932
0.380	0.929
0.390	0.925
0.400	0.921
0.410	0.917
0.420	0.913
0.430	0.909
0.440	0.905
0.450	0.900
0.460	0.896
0.470	0.892
0.480	0.887
0.490	0.882
0.500	0.878
0.510	0.873
0.520	0.868
0.530	0.863
0.540	0.858
0.550	0.853
0.560	0.847
0.570	0.842
0.580	0.836
0.590	0.831
0.600	0.825
0.610	0.820
0.620	0.814
0.630	0.808
0.640	0.802
0.650	0.796
0.660	0.790
0.670	0.784
0.680	0.778
0.690	0.771
0.700	0.765
0.710	0.758
0.720	0.752
0.730	0.745
0.740	0.738
0.750	0.732
0.760	0.725
0.770	0.718
0.780	0.711
0.790	0.704
0.800	0.697
0.810	0.689
0.820	0.682
0.830	0.675
0.840	0.667
0.850	0.660
0.860	0.652
0.870	0.645
0.880	0.637
0.890	0.629
0.900	0.622
0.910	0.614
0.920	0.606
0.930	0.598
0.940	0.590
0.950	0.582
0.960	0.574
0.970	0.565
0.980	0.557
0.990	0.549
1.000	0.540
1.010	0.532
1.020	0.523
1.030	0.515
1.040	0.506
1.050	0.498
1.060	0.489
1.070	0.480
1.080	0.471
1.090	0.462
1.100	0.454
1.110	0.445
1.120	0.436
1.130	0.427
1.140	0.418
1.150	0.408
1.160	0.399
1.170	0.390
1.180	0.381
1.190	0.372
1.200	0.362
1.210	0.353
1.220	0.344
1.230	0.334
1.240	0.325
1.250	0.315
1.260	0.306
1.270	0.296
1.280	0.287
1.290	0.277
1.300	0.267
1.310	0.258
1.320	0.248
1.330	0.238
1.340	0.229
1.350	0.219
1.360	0.209
1.370	0.199
1.380	0.190
1.390	0.180
1.400	0.170
1.410	0.160
1.420	0.150
1.430	0.140
1.440	0.130
1.450	0.121
1.460	0.111
1.470	0.101
1.480	0.091
1.490	0.081
1.500	0.071
1.510	0.061
1.520	0.051
1.530	0.041
1.540	0.031
1.550	0.021
